Merchant,Category
ge.se.co. la prisgiona,Other
gelateria i nobili,Restaurant
gelateria ice town di..,Restaurant
gem,Other
"gill and deol, ba",Other
godaddy,Subscription
google,Subscription
google chrome,Subscription
google cloud,Subscription
google one,Subscription
google play,Subscription
google storage,Subscription
google store,Subscription
google wallet,Subscription
gpay,Other
grande pharmacie,Health
granier,Other
greem24 di benetazzo nich,Other
grom,Other
gsa provins,Other
h2 concept,Other
head up,Other
hema,Shopping
heymondo,Other
holiday bar,Travel
hotel 1k paris,Travel
hotel etats unis,Travel
huel,Other
hummus bar,Other
icpc setael,Other
ikea,Shopping
il postto gelato cafe,Café
intermarche,Grocery
invilla di grandis vera,Other
"ipp park hrad,ba",Entertainment
iris galerie,Other
ivs france,Other
japanos,Other
jdp librairie,Transport
joseph iii,Other
juice factory,Café
k13,Other
karasardegna-landside,Transport
kaufland,Grocery
kaviaren emil,Other
kenny - klobucnicka,Other
kfc,Restaurant
kickstarter,Other
klarna*google store,Subscription
"korean bow,ba,pribinova",Other
koza,Other
kw2 sarl,Other
l ours,Other
l'abeille,Other
l'as du fallafel,Other
l'epicier,Other
la bete a cornes,Other
la cabane a mario,Transport
la creme de paris,Other
la estancia,Other
la galcante,Other
la manon,Other
la mouette rieus,Other
la parisienne,Other
la pecha,Other
la poste,Services
la quille du 11e,Other
la seine cafe,Café
la super wash,Other
la tete dans les nuages,Entertainment
la vecchi rama,Other
lafeltrinelli,Shopping
larnicol,Other
lastminute.com,Transport
laverie lav speed,Services
le 3bis,Other
le bouquet wagram,Other
le comptoir general,Other
le derby alma,Other
le fournil breton,Other
le moulin a miel,Other
le papere itineranti,Other
le popup du label,Health
le reminet,Other
leana,Other
lebara,Other
leboncoin,Other
leetchi,Other
leeto,Other
lemonade,Other
leon d'oro s.r.l.,Other
leoro,Other
leroy merlin,Shopping
les marmottes,Other
les objets dart,Other
les rupins,Other
librerias picasso,Shopping
lidl,Grocery
liife,Other
lime,Transport
lina's,Other
lipscani souvenirs,Shopping
little by cipolla caffe,Café
little cafe,Café
livi,Health
lkq corp,Other
locservice,Other
loft montmartre,Other
lowrider cafe,Café
ls cesar y georgette,Other
ls da lino epicerie mu,Grocery
ls les mahboules,Other
lyca mobile,Other
lydia,Other
lydia.me,Other
magazzini generali,Other
maison bastille,Other
maison kayser,Other
maison pradier 1,Other
maison saunier,Other
malaga stop hostel,Travel
malis,Other
malpensa shuttle,Transport
mammy gateau,Café
manawa poke,Restaurant
marano cinema srl,Entertainment
marche u,Grocery
mare azzurro,Other
marin d'eau douce,Other
masala darbar,Other
matcha bercy,Other
maxicoffee,Café
mcdonald's,Restaurant
md thiene,Other
medicine,Other
mediterranean food,Restaurant
menkai,Other
mercato centr.milano ..,Other
metropole rouen normandie,Transport
michel k paris,Other
midaticket,Entertainment
milano cortina 2026,Other
miniso,Shopping
mj maison piquenot,Other
mme boittin,Other
moak,Other
mondieu,Other
"mondieu, ba, pribinova",Other
monoprix,Grocery
montyesim,Subscription
moris,Other
moshimo,Other
mrt vosges,Other
multiservices srl,Other
musee ja,Entertainment
museo cappella sansevero,Entertainment
museo picasso t.distrib.,Entertainment
muxunav,Other
my appart,Other
mytrip,Transport
namecheap,Subscription
napoli cafe,Café
navigo,Transport
nay elektrodom ds,Other
necropoli li muri,Other
negroni trading srl,Other
nelson's,Other
new soul food,Restaurant
new yorker,Shopping
newrest,Other
nexi,Other
next level specialty,Other
nito.dk,Other
noir coffee shop,Café
nonna titti capodichino,Other
normal,Shopping
notino,Shopping
notre-dame de paris,Entertainment
nu3,Other
nyx*rodkvasro,Other
nyx*sncfgaresetconnexio,Transport
obb,Transport
obsidian,Other
oikos servizi srl,Other
old shalimar,Other
omv,Transport
one hundred france sas,Other
only porceddu,Other
optima italia,Other
oracle,Other
orygyns specialty coffee,Café
ospedale parcheggio,Transport
osteria al volto,Restaurant
oura ring,Other
ovhcloud,Subscription
paddle.net,Other
pagnol boulangerie,Grocery
pagopa,Other
palais omnisports de paris-bercy,Entertainment
pam panorama,Grocery
pampa del sur,Other
pan united,Other
paname brewing,Restaurant
panozzi,Other
papier tigre 2,Other
parafarmacia.it,Shopping
paris,Other
paris baguette,Restaurant
paris radiologie,Other
parisboca,Other
park guell,Entertainment
parking,Transport
parkov. centr. bojnice,Transport
passetonbillet,Entertainment
pasticceria alessia,Other
pasticceria poppella,Other
pathe,Entertainment
paypal,Services
paypal *afritithamz,Services
paypal *ami4883x shoppy_m,Services
paypal *erik.covolo,Services
paypal *lexdavies19,Services
paypal *locservice,Services
paypal *mihaicip1982,Services
paypal *nohamalik99 shopp,Services
paypal *papmpol,Services
paypal *sultan,Services
paypal *tenore.emanuele00,Services
penn ar bed,Other
perfect hair health me,Services
perplexity ai,Other
pharmacie,Health
pharmacie du marais,Health
pharmacie secretan,Health
pharmaciedesteinfort24241,Health
phc nouvellelyon,Other
phmcie vieux marche,Grocery
pianes srl,Other
piano b s.r.l.,Other
picard,Grocery
picorer,Other
pizza wawa,Restaurant
pizzeria tony,Other
pizzeria x giugno,Other
planity,Services
potraviny,Grocery
poupee merveille,Other
pret a manger,Restaurant
prevadzka sevt_67,Other
prixtel,Other
pro ski obcerstvenie,Entertainment
"pro ski, a.s.",Entertainment
"pro ski, martinske hole",Entertainment
provigny,Other
provins tourisme,Other
puro lino,Other
r114 briccocafe' - ai..,Café
ratp,Transport
rch foligain eu,Other
readwise,Other
regal burger,Restaurant
relay,Other
renfe,Transport
reserved,Shopping
ressive s.r.l.,Other
restauracia five,Restaurant
restauracia pod kalvar,Other
restaurants bouillon chartier,Restaurant
reunion des musees nationaux,Entertainment
revolut,Services
rise up,Other
ristorante al ventitre,Other
rizzato calzature megast,Transport
roma 33,Other
rosner pc,Other
rougier & ple,Shopping
"royaltea,ba,mlynske nivy",Café
rpg st germain,Other
ruem distribution,Other
ryanair,Travel
s.v.t. autostazione,Transport
"salash, ba, mlyn. nivy",Other
sarl sarl grh corporation,Other
sas   sdg fleur 38,Shopping
sas adm,Other
sc-acs fruits,Other
sc-boul.damyel,Other
sc-canal sushi,Restaurant
sc-rest tasty,Other
sc.luderic tr.,Other
sclav speed.aut,Other
scribd,Subscription
sedpa,Other
see tickets,Entertainment
selarl du marais,Other
semtee sa,Other
servizio parcheggi,Other
sfr,Utilities
shotgun* la petite hal,Other
skeat,Restaurant
slovak lines,Transport
sncf,Transport
societe nouvelle victoire,Other
soho house,Other
sosh,Other
sp *narodna zoo bojnic,Entertainment
sp ulo.co,Other
sp vista optics,Other
sp xtremeskins,Entertainment
sp zaoud,Other
sq *bcoffee,Café
starbucks,Café
subarashi ramen,Restaurant
subway,Restaurant
sumup  *associazione la v,Services
sumup  *begona,Services
sumup  *burger theory lev,Restaurant
sumup  *dr sayous paris,Services
sumup  *emma crepes,Restaurant
supermarches g20,Grocery
supermercati martinelli,Other
supermercato l'albero ali,Other
supersigma,Other
supersonic,Entertainment
superstrada pedemontana,Transport
surpriz,Other
sushi maison,Restaurant
swile,Services
synthflow ai,Other
tabak-press-oc eurovea 2,Shopping
tang lin,Other
telekom,Utilities
temu,Shopping
terres de cafe,Café
tgtg dm7hb8qrf7cn0,Other
tgtg k80qz1cmp0540,Other
tgtg sejnhpdrmjan0,Other
the cambridge,Transport
the lockers l1,Other
the museum,Entertainment
thefork,Other
thermalpark,Entertainment
thermalpark ds,Entertainment
thermalpark.sk,Entertainment
therme,Entertainment
thiene ss dpr,Other
tick tick,Other
ticketmaster,Entertainment
tigella sottoriva s.r.l.,Other
tlr coworking,Other
tmb,Other
tna 21 008,Other
too good to go,Other
trade republic card,Restaurant
trainline,Travel
transavia,Travel
trattoria du val,Restaurant
trattoria sabbioneda,Restaurant
treatwell,Services
treehouse distribution b.,Other
trenitalia,Transport
tresor s.a.s.,Other
tt eagles s r o,Other
ttn eesti o 32603943,Other
ttn eesti o 33317543,Other
ttn eesti o 34368978,Other
tune my music,Subscription
tunels barcelona cadi,Transport
tutao,Other
u express,Grocery
uber,Transport
uber eats,Food Delivery
uber one,Transport
ufficio cultura teatro,Restaurant
ugc,Entertainment
uniqlo,Shopping
val'se de crepes,Restaurant
vasa lekaren elf,Shopping
velib',Transport
verona p.n. self service,Other
very   acquisto offerta,Other
very mobile,Other
vicenza kart indoor via,Other
victoria 168,Other
viet nam impress,Other
vinted,Shopping
wagamama,Other
wakelake,Other
wanted cafe,Café
weezevent,Entertainment
weil romain,Other
westfield,Shopping
wiener eistraum,Other
withdrawal,Other
withings,Shopping
www.martinky.com,Other
xiaomi,Shopping
xtb,Other
yann couvreur patisserie,Restaurant
youprice,Other
z & m,Other
zacks investment research,Other
zalando,Shopping
zamnesia,Other
zara,Shopping
zooplus,Entertainment
zumub,Other
